  score1=38, score2=17, dur=950.2, team1=jjdrift, team2=chthigpen, winner=jjdrift, mtype=rescue_r2, mhash_short=[DANK-DOGS], mhash_lshort=K-DANK-DOGS, mhash=mhash=250512-0224K-DANK-DOGS,utc=1747031087.90
  score1=49, score2=6, dur=950.1, team1=bruno752, team2=wpirates, winner=bruno752, mtype=rescue_r2, mhash_short=[THIN-RICE], mhash_lshort=Z-THIN-RICE, mhash=mhash=250512-0225Z-THIN-RICE,utc=1747031153.78
  score1=31, score2=19, dur=950.2, team1=mineswp, team2=ericadam, winner=mineswp, mtype=rescue_r2, mhash_short=[FAST-RAFT], mhash_lshort=N-FAST-RAFT, mhash=mhash=250512-0226N-FAST-RAFT,utc=1747031219.63
  score1=37, score2=12, dur=528.8, team1=jjdrift, team2=chthigpen, winner=jjdrift, mtype=rescue_r2, mhash_short=[NINE-MACK], mhash_lshort=C-NINE-MACK, mhash=mhash=250512-0228C-NINE-MACK,utc=1747031285.47
  score1=50, score2=2, dur=872.7, team1=bruno752, team2=ericadam, winner=bruno752, mtype=rescue_r2, mhash_short=[RIPE-DANE], mhash_lshort=U-RIPE-DANE, mhash=mhash=250512-0228U-RIPE-DANE,utc=1747031330.24
  score1=33, score2=22, dur=593.3, team1=bertucci, team2=ews2011, winner=bertucci, mtype=rescue_r2, mhash_short=[REAL-REED], mhash_lshort=V-REAL-REED, mhash=mhash=250512-0229V-REAL-REED,utc=1747031392.55
  score1=52, score2=3, dur=950.3, team1=bruno752, team2=wpirates, winner=bruno752, mtype=rescue_r2, mhash_short=[WARM-HERB], mhash_lshort=W-WARM-HERB, mhash=mhash=250512-0230W-WARM-HERB,utc=1747031440.79
  score1=27, score2=25, dur=593.1, team1=bruno752, team2=jcizu690, winner=bruno752, mtype=rescue_r2, mhash_short=[WISE-ROLE], mhash_lshort=M-WISE-ROLE, mhash=mhash=250512-0231M-WISE-ROLE,utc=1747031506.74
  score1=30, score2=17, dur=950.2, team1=jjdrift, team2=bertucci, winner=jjdrift, mtype=rescue_r2, mhash_short=[MALE-SIDE], mhash_lshort=A-MALE-SIDE, mhash=mhash=250512-0232A-MALE-SIDE,utc=1747031554.80
  score1=20, score2=3, dur=950.1, team1=mineswp, team2=bertucci, winner=mineswp, mtype=rescue_r2, mhash_short=[MALT-NICO], mhash_lshort=P-MALT-NICO, mhash=mhash=250512-0233P-MALT-NICO,utc=1747031620.83
  score1=35, score2=20, dur=514.1, team1=wpirates, team2=ews2011, winner=wpirates, mtype=rescue_r2, mhash_short=[PRIM-ANDY], mhash_lshort=E-PRIM-ANDY, mhash=mhash=250512-0234E-PRIM-ANDY,utc=1747031686.84
  score1=43, score2=10, dur=950.3, team1=omg, team2=ews2011, winner=omg, mtype=rescue_r2, mhash_short=[DARK-TEXT], mhash_lshort=C-DARK-TEXT, mhash=mhash=250512-0235C-DARK-TEXT,utc=1747031731.37
  score1=29, score2=25, dur=540.2, team1=omg, team2=wpirates, winner=omg, mtype=rescue_r2, mhash_short=[EDGY-TICK], mhash_lshort=E-EDGY-TICK, mhash=mhash=250512-0236E-EDGY-TICK,utc=1747031797.41
  score1=29, score2=22, dur=513.4, team1=bertucci, team2=ericadam, winner=bertucci, mtype=rescue_r2, mhash_short=[WEAK-RACE], mhash_lshort=W-WEAK-RACE, mhash=mhash=250512-0237W-WEAK-RACE,utc=1747031842.84
